sample_id,label,bilingual_gloss,english,maori,source_id,source_url,license,signer_id,variant_id,recorded_date,local_relpath,verified_nzsl,verified_by,verification_notes,split_notes,remote_video_url
nzsl_online_coach_744_01,coach,coach / pahi nui,Coach,Pahi nui,nzsl_online,https://www.nzsl.nz/signs/744,CC BY-NC-SA 4.0,,744_01,,starter_nzsl/data/raw/coach/coach.744.main_glosses.mb.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'coach',batch_02_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/744/coach.744.main_glosses.mb.r480x360.mp4
nzsl_online_coach_744_02,coach,coach / pahi nui,Coach,Pahi nui,nzsl_online,https://www.nzsl.nz/signs/744,CC BY-NC-SA 4.0,,744_02,,starter_nzsl/data/raw/coach/coach.744.finalexample1.vs.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'coach',batch_02_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/744/coach.744.finalexample1.vs.r480x360.mp4
nzsl_online_coach_744_03,coach,coach / pahi nui,Coach,Pahi nui,nzsl_online,https://www.nzsl.nz/signs/744,CC BY-NC-SA 4.0,,744_03,,starter_nzsl/data/raw/coach/coach.744.finalexample2.mb.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'coach',batch_02_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/744/coach.744.finalexample2.mb.r480x360.mp4
nzsl_online_truck_8995_01,truck,truck / taraka,Truck,Taraka,nzsl_online,https://www.nzsl.nz/signs/8995,CC BY-NC-SA 4.0,,8995_01,,starter_nzsl/data/raw/truck/truck.8995.main_glosses.cd.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'truck',batch_02_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/truck.8995.main_glosses.cd.r480x360.mp4
nzsl_online_truck_8995_02,truck,truck / taraka,Truck,Taraka,nzsl_online,https://www.nzsl.nz/signs/8995,CC BY-NC-SA 4.0,,8995_02,,starter_nzsl/data/raw/truck/truck.8995.finalexample1.cd.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'truck',batch_02_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/truck.8995.finalexample1.cd.r480x360.mp4
nzsl_online_ticket_4472_01,ticket,ticket / tikiti,Ticket,Tikiti,nzsl_online,https://www.nzsl.nz/signs/4472,CC BY-NC-SA 4.0,,4472_01,,starter_nzsl/data/raw/ticket/ticket.4472.main_glosses.mb.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'ticket',batch_02_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/4472/ticket.4472.main_glosses.mb.r480x360.mp4
nzsl_online_ticket_4472_02,ticket,ticket / tikiti,Ticket,Tikiti,nzsl_online,https://www.nzsl.nz/signs/4472,CC BY-NC-SA 4.0,,4472_02,,starter_nzsl/data/raw/ticket/ticket.4472.finalexample1.mb.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'ticket',batch_02_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/4472/ticket.4472.finalexample1.mb.r480x360.mp4
nzsl_online_pay_3863_01,pay,pay / utu,Pay,Utu,nzsl_online,https://www.nzsl.nz/signs/3863,CC BY-NC-SA 4.0,,3863_01,,starter_nzsl/data/raw/pay/pay.3863.main_glosses.jo.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'pay',batch_02_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/3863/pay.3863.main_glosses.jo.r480x360.mp4
nzsl_online_pay_3863_02,pay,pay / utu,Pay,Utu,nzsl_online,https://www.nzsl.nz/signs/3863,CC BY-NC-SA 4.0,,3863_02,,starter_nzsl/data/raw/pay/pay.3863.finalexample1.jo.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'pay',batch_02_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/3863/pay.3863.finalexample1.jo.r480x360.mp4
nzsl_online_pay_3850_01,pay,pay / utu,Pay,Utu,nzsl_online,https://www.nzsl.nz/signs/3850,CC BY-NC-SA 4.0,,3850_01,,starter_nzsl/data/raw/pay/pay.3850.main_glosses.mb.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'pay',batch_02_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/3850/pay.3850.main_glosses.mb.r480x360.mp4
nzsl_online_pay_3850_02,pay,pay / utu,Pay,Utu,nzsl_online,https://www.nzsl.nz/signs/3850,CC BY-NC-SA 4.0,,3850_02,,starter_nzsl/data/raw/pay/pay.3850.finalexample1.mb.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'pay',batch_02_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/3850/pay.3850.finalexample1.mb.r480x360.mp4
